host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout,class_label,lens,lsb
NGC2481,MATLAS-344,119.8858,23.6082,dEN ,4.81,,"(220, 227)",6113.750155047052,7097.05050221167,u,1,1,2.0,,1.0
,0759408+232745,119.92012,23.46252,UDG,5.91,,"(220, 227)",5504.884839443904,4273.726159264058,u,1,1,,,
PGC4948,012138+173328,20.4115,17.558,dE,3.44,,"(39, 215)",5643.301456946594,6124.039244481008,u,1,1,2.0,,1.0
PGC4948,012158+173434,20.4941,17.5762,UDG,10.6,,"(39, 215)",4117.259902297565,6476.789056395161,u,1,1,2.0,,1.0
UGC00903,LS-429811-3398,20.285,17.6022,,,0.00822001975029707,"(39, 215)",7979.81561060401,6981.800752666353,u,1,1,2.0,,1.0
UGC00903,LS-431187-1672,20.328,17.7539,,,,"(39, 215)",7183.7049274982965,9921.038627965694,u,1,1,,,
UGC00903,LS-429812-2469,20.5362,17.5279,,,,"(39, 215)",3339.0494949649574,5541.0654941455905,u,1,1,,,
,1329580+344455,202.49185,34.74859,UDG,6.01,,"(334, 249)",7341.022763899308,9819.15877052516,ugri,4,1,,,
,1330324+343619,202.63493,34.60517,UDG,5.68,,"(334, 249)",5062.8529671146425,7038.08912936351,ugri,4,1,,,
NGC4826,dw1251p2324,192.8683,23.4009,,5.15662015617741,,"(354, 227)",7485.915065440049,3080.7470779811642,u,1,1,2.0,,1.0
,0111160+330021,17.81675,33.00594,UDG,7.85,,"(30, 246)",6116.466570511015,5115.4756510962925,ugr,3,1,,,
,1254105+324332,193.5439,32.72568,UDG,7.38,,"(326, 245)",490.7997136837921,9379.351113283356,ugri,4,1,,,
,0142548+041530,25.72839,4.25823,UDG,6.94,,"(51, 189)",2110.0576945408193,315.0001646447281,u,1,1,,,
PGC39724,122120+294255,185.3342,29.7154,dE,13.02,,"(323, 239)",8738.44998689061,9177.840496000335,ugri,4,1,2.0,,1.0
PGC39724,122309+292059,185.7905,29.3497,dE,11.34,0.0018403934082016349,"(323, 239)",1044.3048435945966,2091.297317584134,ugri,4,1,2.0,,1.0
,1221085+292921,185.28551,29.48924,UDG,13.95,,"(323, 239)",9568.148017766103,4796.796667252802,ugri,4,1,2.0,,1.0
,1230140+563732,187.55849,56.62561,UDG,5.51,,"(207, 293)",4604.674040806665,7434.302366232507,ugriz,5,1,,,
,1066,190.6157,0.048,,5.5,0.005102077499032021,"(381, 180)",2757.8508516038146,5930.192372036517,u,1,1,2.0,,
,0847503+174411,131.95959,17.73653,UDG,6.57,,"(252, 215)",7862.466729872969,9584.912466764441,u,1,1,,,
,1516047+354751,229.01959,35.79755,UDG,6.09,,"(371, 252)",9259.948146629333,1082.6057216002987,ugri,4,1,,,
,1155591+274558,178.99607,27.76604,UDG,9.3,,"(316, 236)",4142.5777321492305,466.2467492027081,ui,2,1,,,
,1524411+293745,231.17112,29.62915,UDG,8.71,,"(402, 239)",1107.8271018487353,7506.677325817416,ugri,4,1,,,
,1724463+600947,261.19277,60.16312,UDG,5.93,,"(261, 300)",3141.370040166028,8163.817314925216,ugriz,5,1,,,
,1244497+004231,191.20691,0.70862,UDG,5.62,,"(382, 181)",1131.4958590034057,9042.940626279586,u,1,1,,,
,1554477+580723,238.69894,58.12302,UDG,5.57,,"(253, 296)",5170.592819369719,7384.024851531776,ugriz,5,1,,,
PGC54428,151510+420334,228.7953,42.0596,dE,3.58,,"(340, 264)",4457.059106752503,6155.106428879631,ugri,4,1,2.0,,1.0
PGC39724,122015+302136,185.0648,30.3602,dE,8.24,0.002360166748985648,"(319, 241)",5830.063594697691,2290.9972422261144,ugri,4,1,2.0,,1.0
,1221234+303645,185.34752,30.6124,UDG,22.01,,"(319, 241)",1112.6446820287506,7182.224734349017,ugri,4,1,2.0,,1.0
NGC5322,MATLAS-1588,207.4531,59.6494,dE  ,3.32,,"(211, 299)",9043.711675380906,7907.799224584633,ugri,4,1,2.0,,1.0
PGC49044,134951+594340,207.4627,59.728,dE,8.18,,"(211, 299)",8940.469203743,9430.406239481988,ugri,4,1,2.0,,1.0
PGC49489,135229+594027,208.1217,59.6744,BC,9.82,,"(211, 299)",2498.6340159395445,8384.518433133626,ugri,4,1,2.0,,1.0
,1136428+483754,174.17818,48.63159,UDG,7.39,,"(231, 277)",6663.1535196794775,7551.496754562764,ugi,3,1,,,
,1428487+254337,217.2029,25.72708,UDG,9.08,,"(392, 231)",4146.205085813813,9400.756293555307,u,1,1,,,
NGC0502,MATLAS-73,21.0794,8.8299,dEN ,5.57,,"(42, 198)",8492.238011766385,1704.4817166815883,u,1,1,2.0,,1.0
NGC0524,MATLAS-87,21.1941,9.1329,dE  ,4.03,,"(42, 198)",6294.708891076567,7575.5902474655195,u,1,1,2.0,,1.0
NGC0524,MATLAS-88,21.216,9.1138,dI  ,0.0,,"(42, 198)",5875.734494098462,7205.384371370059,u,1,1,2.0,,1.0
NGC0524,MATLAS-94,21.2896,9.1832,dE  ,4.38,,"(42, 198)",4467.54792459652,8550.25888876967,u,1,1,2.0,,1.0
NGC0524,MATLAS-99,21.4067,9.2309,dI  ,0.0,,"(42, 198)",2227.7050481661254,9475.189410088853,u,1,1,2.0,,1.0
PGC5222,012453+091343,21.2223,9.2288,dE,4.37,,"(42, 198)",5754.947840816992,9433.97216605343,u,1,1,2.0,,1.0
,0016176+295947,4.07332,29.99626,UDG,6.48,,"(7, 240)",4465.147585453235,4927.59703893331,ugr,3,1,,,
,1507523+522548,226.96781,52.4299,UDG,6.73,,"(276, 285)",1714.9111955862568,3647.8512650781613,ugri,4,1,,,
,0901297+474853,135.3738,47.81478,UDG,6.62,,"(181, 276)",3390.5769045539014,1411.902895104689,griz,4,1,,,
,1205248+230520,181.35321,23.0888,UDG,7.2,,"(334, 226)",6229.5615473214,6721.14358191922,u,1,1,,,
,1612159+551439,243.06632,55.24424,UDG,10.65,-0.00028112781001254916,"(279, 290)",6596.473309427496,9734.80085816685,ugri,4,1,1.0,,
,1256546+273312,194.22732,27.55324,UDG,5.35,,"(345, 235)",9227.683610851487,6035.935673551259,u,1,1,,,
,1257009+273155,194.2536,27.53205,UDG,5.32,,"(345, 235)",8776.888267690192,5624.444378218719,u,1,1,,,
,1257126+271633,194.30249,27.27573,UDG,5.91,,"(345, 235)",7943.580144666948,655.8694038396543,u,1,1,,,
,1257127+272727,194.30309,27.4575,UDG,5.45,,"(345, 235)",7928.411031007215,4178.400534274206,u,1,1,,,
,1257243+274344,194.35139,27.72878,UDG,6.1,,"(345, 235)",7092.672410858953,9434.57949507362,u,1,1,,,
,1257534+273202,194.47235,27.53391,UDG,5.51,,"(345, 235)",5017.7998358749555,5657.140810366139,u,1,1,,,
,1258050+274359,194.52096,27.73294,UDG,6.89,,"(345, 235)",4183.961592202109,9514.318333993924,u,1,1,,,
,1258104+271912,194.54336,27.31994,UDG,8.49,,"(345, 235)",3795.2213667559345,1510.9499590208288,u,1,1,,,
,1258131+272522,194.5547,27.42292,UDG,7.73,,"(345, 235)",3601.282785887758,3506.725691328107,u,1,1,,,
,1258145+272429,194.56027,27.40803,UDG,6.2,,"(345, 235)",3505.2688637125184,3218.236870884615,u,1,1,,,
,1258213+273833,194.58866,27.64238,UDG,7.42,,"(345, 235)",3021.0734006967873,7760.1061300368365,u,1,1,,,
,1258549+273852,194.72893,27.64787,UDG,5.43,,"(345, 235)",613.2434435286159,7870.113256317394,u,1,1,,,
