name,host,radeg,dedeg,rproj,gmag,e_gmag,rimag,e_rimag,Mgmag,MVmag,e_MVmag,logMstar,e_logMstar,mu0V,e_mu0V,re,e_re,ETG,confirmed,Psat,filter,telescope,bad,dist,rearcsec,mueg,host_ra,host_dec,host_dist,host_alt_id,iso
dw0321m4159,NGC1291,50.3521,-41.9982,186.2,16.27,0.09,15.85,0.09,-13.52,-13.77,0.09,7.37,0.13,23.65,0.11,784.6,43.4,False,True,1.0,gr,DECALS,nan,9.08,17.8232782575642,24.5304126185753,49.327411,-41.107952,9.08,nan,1.0
dw0323m4040,NGC1291,50.8173,-40.6777,191.1,15.94,0.09,15.34,0.09,-13.85,-14.2,0.09,7.84,0.13,21.66,0.11,599.8,32.9,True,True,1.0,gr,DECALS,nan,9.08,13.6252897144338,23.6172034089713,49.327411,-41.107952,9.08,nan,1.0
dw0325m4113,NGC1291,51.4098,-41.2304,249.2,17.94,0.1,17.39,0.1,-11.85,-12.17,0.1,6.94,0.13,25.47,0.13,1009.3,71.1,True,True,1.0,gr,DECALS,nan,9.08,22.9276506704599,26.747272462335,49.327411,-41.107952,9.08,nan,1.0
dw0312m3955,NGC1291,48.038,-39.9179,244.4,20.87,0.18,20.46,0.18,-8.92,-9.16,0.18,5.52,0.2,26.54,0.27,716.4,118.3,True,False,0.65,gr,DECALS,nan,9.08,16.2740205824671,28.9329489863914,49.327411,-41.107952,9.08,nan,1.0
dw0315m4112,NGC1291,48.9422,-41.2017,48.3,20.03,0.14,19.43,0.13,-9.76,-10.11,0.14,6.21,0.16,26.82,0.2,941.0,115.9,True,False,0.55,gr,DECALS,nan,9.08,21.3761213638383,28.6851192143746,49.327411,-41.107952,9.08,nan,1.0
dw0316m4207,NGC1291,49.1818,-42.1284,162.6,20.9,0.18,20.48,0.18,-8.89,-9.13,0.19,5.54,0.21,25.47,0.27,569.1,95.1,True,False,0.55,gr,DECALS,nan,9.08,12.9278965948804,28.4631140302104,49.327411,-41.107952,9.08,nan,1.0
dw0321m4149,NGC1291,50.4853,-41.8184,177.7,20.35,0.15,20.07,0.16,-9.44,-9.6,0.16,5.5,0.17,26.11,0.22,504.9,69.1,False,False,0.65,gr,DECALS,nan,9.08,11.4695044677117,27.6531979562516,49.327411,-41.107952,9.08,nan,1.0
NGC1792,NGC1808,76.3077,-37.979,109.6,10.48,0.08,9.82,0.09,-19.36,-19.75,0.09,10.13,0.13,19.71,0.11,2807.3,131.7,False,True,1.0,gr,DECALS,nan,9.29,62.3301585524302,21.4589658398884,76.926429,-37.51305,9.29,nan,1.0
dw0506m3739,NGC1808,76.6002,-37.6499,47.5,19.83,0.13,19.28,0.13,-10.01,-10.33,0.14,6.22,0.15,24.68,0.19,364.2,42.0,True,True,1.0,gr,DECALS,nan,9.29,8.08629089307938,26.3742214838315,76.926429,-37.51305,9.29,nan,1.0
dw0507m3629,NGC1808,76.7765,-36.4834,168.0,18.73,0.11,18.22,0.11,-11.11,-11.41,0.11,6.57,0.13,24.18,0.15,463.4,39.0,True,True,1.0,gr,DECALS,nan,9.29,10.288817129777,25.7973019231182,76.926429,-37.51305,9.29,nan,1.0
