ID,RAdeg,DEdeg,gmag,gMag,mu,PRh,ARh,z,Nuc,Class,Env,PGC
122513+130419,186.307,13.0721,20.87,-10.3,25.42,0.26,3.25,9.9999,0,ND,1,PGC41361
122514+115057,186.3102,11.8493,14.81,-16.35,22.45,1.07,13.45,0.0079,1,ND,1,PGC41361
122515+124252,186.3132,12.7145,14.59,-16.58,21.32,0.7,8.87,-0.0006,1,ND,1,PGC41361
122515+071418,186.315,7.2385,18.64,-12.53,24.91,0.57,7.17,9.9999,1,ND,1,PGC41361
122516+113618,186.3201,11.6053,16.03,-15.14,22.38,0.59,7.45,0.0004,1,ND,1,PGC41361
122517+141021,186.3231,14.1725,15.81,-15.35,21.99,0.54,6.87,0.0021,1,ND,1,PGC41361
122518+122434,186.3266,12.4095,20.84,-10.33,25.35,0.25,3.18,9.9999,1,ND,1,PGC41361
122519+131523,186.3294,13.2566,18.38,-12.79,25.02,0.68,8.53,9.9999,1,ND,1,PGC41361
122519+304144,186.3313,30.6956,20.91,-10.44,25.4,0.27,3.15,9.9999,0,ND,3,PGC40692
122520+130855,186.3338,13.1487,19.75,-11.42,25.54,0.45,5.74,9.9999,0,ND,1,PGC41361
122520+134908,186.3371,13.8191,19.11,-12.06,25.69,0.66,8.28,9.9999,1,ND,1,PGC41361
122521+162545,186.3401,16.4294,15.01,-16.16,22.95,1.23,15.49,0.0031,1,ND,1,PGC41361
122522+064240,186.3432,6.7113,17.08,-14.08,24.22,0.85,10.71,9.9999,0,ND,1,PGC41361
122523+123314,186.3458,12.554,20.6,-10.57,25.12,0.25,3.2,9.9999,1,ND,1,PGC41361
122523+131600,186.3463,13.2669,20.69,-10.48,27.19,0.63,7.98,9.9999,0,ND,1,PGC41361
122523+144812,186.3464,14.8035,17.31,-13.86,23.52,0.55,6.99,0.0047,1,ND,1,PGC41361
122523+123229,186.3488,12.5415,20.54,-10.62,25.92,0.37,4.75,9.9999,1,ND,1,PGC41361
122523+124030,186.3492,12.6753,19.22,-11.94,25.58,0.59,7.44,9.9999,1,ND,1,PGC41361
122524+180823,186.3502,18.1399,16.17,-14.99,22.3,0.53,6.72,0.0026,1,ND,1,PGC41361
122524+073932,186.3508,7.6589,19.91,-11.26,25.36,0.39,4.91,9.9999,0,ND,1,PGC41361
122524+111511,186.3526,11.2532,20.28,-10.89,25.59,0.36,4.62,9.9999,1,ND,1,PGC41361
122524+130634,186.3534,13.1095,20.76,-10.41,26.22,0.39,4.94,9.9999,0,ND,1,PGC41361
122525+144855,186.3553,14.8153,20.09,-11.08,24.79,0.27,3.48,9.9999,0,ND,1,PGC41361
122526+311646,186.3602,31.2796,18.41,-12.95,24.71,0.63,7.26,9.9999,1,ND,3,PGC40692
122526+124037,186.3609,12.6769,18.53,-12.64,24.71,0.55,6.88,9.9999,1,ND,1,PGC41361
122528+122005,186.3668,12.335,19.81,-11.35,25.48,0.43,5.44,9.9999,0,ND,1,PGC41361
122528+123809,186.3689,12.6361,16.61,-14.55,23.92,0.92,11.55,0.0081,1,ND,1,PGC41361
122528+122936,186.3699,12.4936,18.53,-12.64,25.5,0.79,9.9,9.9999,0,ND,1,PGC41361
122528+093620,186.3701,9.6056,20.46,-10.71,25.5,0.32,4.06,9.9999,0,ND,1,PGC41361
122529+132954,186.3711,13.4985,16.7,-14.47,23.17,0.62,7.86,9.9999,0,BC,1,PGC41361
122530+203252,186.376,20.548,19.94,-11.23,25.83,0.48,6.02,9.9999,0,ND,1,PGC41361
122530+125838,186.3761,12.9773,19.53,-11.64,26.64,0.84,10.54,9.9999,0,ND,1,PGC41361
122531+140908,186.3814,14.1524,16.55,-14.61,24.2,1.08,13.53,9.9999,1,ND,1,PGC41361
122533+074828,186.3882,7.808,18.81,-12.36,24.45,0.42,5.36,9.9999,1,ND,1,PGC41361
122533+131337,186.3897,13.2272,16.53,-14.63,23.05,0.64,8.03,-0.0011,1,ND,1,PGC41361
122533+044829,186.3902,4.8082,18.62,-12.55,25.54,0.77,9.68,9.9999,0,ND,1,PGC41361
122534+151139,186.3952,15.1943,16.75,-14.42,23.38,0.67,8.46,0.005,1,ND,1,PGC41361
122535+052251,186.3973,5.381,16.74,-14.42,22.4,0.43,5.4,9.9999,2,BC,1,PGC41361
122535+163545,186.3988,16.596,17.71,-13.46,24.85,0.85,10.7,9.9999,1,ND,1,PGC41361
122535+155050,186.3998,15.8472,15.53,-15.63,23.61,1.31,16.45,0.0036,1,ND,1,PGC41361
