ID,HostETG,Dist,f_Dist,Distl,r_Distl,RAdeg,DEdeg,gmag,g-i,g-r,n,n_n,Re,b/a,PA,mu0g,<mueg>,Morph,field1,field2,field3,host_ra,host_dec,host_Vhel,host_D,host_Mk,host_Ab,host_logRe,iso_clean,main_field,r_fov_arcsec
MATLAS-601,PGC028887,41.0,1,0.0, ,149.59,11.3289,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dE  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-602,PGC028887,41.0,1,39.98,b,149.666,11.4196,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-603,PGC028887,41.0,1,0.0, ,149.7158,11.3743,18.71,0.0,0.0,1.04, ,5.5,0.74,30.09,22.87,23.66,dE  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-604,NGC3073,32.8,1,0.0, ,149.7445,55.8829,20.3,0.28,0.22,0.64, ,5.7,0.65,-11.36,24.54,25.32,dE  ,NGC3073,,,150.216843,55.618935,1173.0,32.8,-21.78,0.05,1.13,0.0,NGC3073,1873.541166229684
MATLAS-605,PGC028887,41.0,1,0.0, ,149.8338,12.1781,20.29,0.0,0.2,0.89, ,2.63,0.87,-21.55,22.84,23.63,dE  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-606,PGC028887,41.0,1,0.0, ,149.8506,11.8783,22.22,0.0,0.1,0.61, ,3.44,0.73,-74.05,25.37,26.15,dE  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-607,PGC028887,41.0,1,42.39,b,149.901,11.7743,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-608,PGC028887,41.0,1,0.0, ,149.93,11.6949,18.88,0.0,0.0,1.27,*,4.47,0.44,1.25,22.59,23.37,dE  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-609,PGC028887,41.0,1,0.0, ,149.942,11.6614,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dEN ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-610,NGC3073,32.8,1,17.98,b,149.944,55.8862,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dE  ,NGC3073,,,150.216843,55.618935,1173.0,32.8,-21.78,0.05,1.13,0.0,NGC3073,1873.541166229684
MATLAS-611,PGC028887,41.0,1,0.0, ,149.9641,12.0568,19.57,0.0,0.0,1.39, ,5.62,0.67,-19.93,23.78,24.56,dE  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
