host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
NGC3627,dw1119p1157,169.8098,11.9524,,18.4165005577765,,,,,,0,0
NGC3627,dw1119p1417,169.8161,14.2901,,7.17801525739895,,,,,,0,0
NGC3627,NGC3628,170.0707,13.5897,,,,,,,,0,0
NGC3627,dw1123p1342,170.806,13.7141,,30.5900529798075,,,,,,0,0
NGC3627,dw1116p1356,169.0325,13.9412,,8.03843416345827,,,,,,0,0
NGC3627,dw1116p1324,169.0973,13.4101,,42.7400322811245,,,,,,0,0
NGC3627,dw1119p1210,169.8996,12.177,,4.79123678511112,,,,,,0,0
NGC3627,dw1121p1129,170.2651,11.487,,6.84995599412976,,,,,,0,0
NGC4258,NGC4248,184.4591,47.4092,,53.7778186509791,,"(249, 275)",2694.5403289440032,3242.9923643739785,ugri,4,1
NGC4258,LVJ1218+4655,184.5465,46.9172,,16.1058436211274,,"(252, 274)",7709.297090632772,3398.955091804626,ugri,4,1
NGC4258,dw1220p4729,185.1256,47.4906,,12.315727806337,,"(250, 275)",3661.7873287446746,4818.7175145441915,ugri,4,1
NGC4258,dw1223p4644,185.9542,46.7495,,3.39763972512578,,"(256, 273)",4953.232472384915,9835.083053366674,ugri,4,1
NGC4517,dw1236m0025,189.1755,-0.4305,,9.91505525473153,,,,,,0,0
NGC4517,dw1238p0028,189.5586,0.4771,,11.3198323524336,,"(379, 181)",4004.2626774233013,4556.225425455842,u,1,1
NGC4517,NGC4592,189.8273,-0.5318,,50.2158348446169,,,,,,0,0
NGC4565,NGC4562,188.8948,25.8503,,34.7408866521895,,"(340, 232)",9316.913816311633,2103.0284466868184,u,1,1
NGC4565,IC3571,189.0835,26.0843,,8.77925414824826,,"(340, 232)",6023.945986788075,6633.878957833908,u,1,1
NGC4565,dw1237p2602,189.2549,26.036,,7.93512842856477,,"(340, 232)",3039.886818440542,5698.487972322373,u,1,1
NGC4565,dw1235p2616,188.843,26.2706,,4.32982761348947,,"(338, 233)",4959.423949481765,554.4423373039526,u,1,1
NGC4565,dw1236p2634,189.2441,26.5786,,6.40634221755688,,"(339, 233)",7690.912101613072,6524.818833705226,u,1,1
NGC4565,dw1237p2605,189.3618,26.0855,,12.6566858421538,,"(340, 232)",1180.104859375435,6660.1195702371115,u,1,1
NGC4565,dw1237p2637,189.4283,26.6243,,5.23288613495785,,"(339, 233)",4498.729724506978,7408.865689766784,u,1,1
M104,dw1237m1125,189.2985,-11.4332,,7.56160300179146,,,,,,0,0
M104,dw1239m1159,189.7877,-11.9867,,12.127506670968,,,,,,0,0
M104,dw1239m1143,189.8136,-11.7189,,13.0907957137555,,,,,,0,0
M104,dw1239m1113,189.8866,-11.2268,,14.7668322545696,,,,,,0,0
M104,dw1239m1120,189.9645,-11.3413,,6.76678154944663,,,,,,0,0
M104,dw1239m1144,189.9787,-11.746,,22.5228209376411,,,,,,0,0
M104,dw1240m1118,190.0392,-11.3139,,14.2657491650479,,,,,,0,0
