host,ID,ra,dec,morph,re,zspec
NGC0525,MATLAS-79,21.1257,9.8418,dE  ,5.06,
NGC0525,MATLAS-80,21.1332,9.8867,dE  ,4.31,
NGC0502,MATLAS-81,21.1349,8.563,dI  ,4.08,
NGC0524,MATLAS-82,21.1424,9.5758,dE  ,5.18,
NGC0525,MATLAS-84,21.1514,10.1668,dEN ,4.28,
NGC0525,MATLAS-85,21.1687,9.795,dEN ,5.84,
NGC0525,MATLAS-86,21.1724,9.8724,dI  ,0.0,
NGC0524,MATLAS-87,21.1941,9.1329,dE  ,4.03,
NGC0524,MATLAS-88,21.216,9.1138,dI  ,0.0,
NGC0525,MATLAS-89,21.2179,9.843,dE  ,0.0,
NGC0524,MATLAS-91,21.2401,9.6221,dE  ,3.72,
NGC0524,MATLAS-92,21.2582,9.3754,dE  ,4.11,
NGC0524,MATLAS-94,21.2896,9.1832,dE  ,4.38,
NGC0525,MATLAS-97,21.3665,9.8415,dEN ,3.68,
NGC0524,MATLAS-99,21.4067,9.2309,dI  ,0.0,
NGC0525,MATLAS-100,21.4236,10.1203,dI  ,2.64,
NGC0525,MATLAS-102,21.4601,9.6696,dI  ,0.0,
NGC0525,MATLAS-104,21.5084,9.8939,dEN ,4.92,
NGC0525,MATLAS-105,21.5397,9.62,dE  ,2.36,
NGC0525,MATLAS-107,21.5852,10.1517,dE  ,0.0,
NGC0661,MATLAS-109,25.6316,28.1847,dE  ,3.81,
NGC0661,MATLAS-110,25.7293,28.8959,dE  ,3.33,
NGC0661,MATLAS-111,25.7514,28.5441,dE  ,0.0,
NGC0661,MATLAS-112,25.8728,28.7761,dI  ,0.0,
NGC0661,MATLAS-113,25.9086,28.9173,dE  ,2.78,
NGC0661,MATLAS-115,26.1497,28.6458,dE  ,0.0,
NGC0661,MATLAS-116,26.2854,29.0262,dI  ,0.0,
NGC0661,MATLAS-117,26.3186,28.7146,dE  ,0.0,
NGC0661,MATLAS-118,26.3511,28.375,dE  ,3.64,
NGC0661,MATLAS-119,26.416,28.5031,dE  ,3.91,
NGC0661,MATLAS-120,26.4259,28.7404,dE  ,5.07,
NGC0680,MATLAS-122,26.9508,22.1426,dI  ,0.0,
NGC0680,MATLAS-124,27.2047,21.5792,dI  ,0.0,
NGC0680,MATLAS-125,27.2088,22.1143,dEN ,10.39,
NGC0680,MATLAS-126,27.2889,22.0435,dE  ,4.64,
NGC0680,MATLAS-127,27.4368,22.3744,dI  ,0.0,
NGC0680,MATLAS-128,27.4706,22.4427,dI  ,0.0,
NGC0680,MATLAS-134,27.7089,21.482,dI  ,3.04,
NGC0680,MATLAS-135,27.7158,22.0392,dI  ,2.95,
NGC0680,MATLAS-136,27.8001,21.997,dE  ,3.36,
NGC0680,MATLAS-137,27.835,22.2765,dE  ,4.5,
NGC0680,MATLAS-140,27.9586,22.309,dI  ,0.0,
NGC0770,MATLAS-142,29.765,19.5476,dE  ,4.48,
NGC0770,MATLAS-144,29.8322,18.7472,dE  ,2.69,
NGC0770,MATLAS-147,30.0131,19.2778,dI  ,0.0,
NGC0770,MATLAS-148,30.0411,18.8296,dI  ,3.28,
NGC0770,MATLAS-149,30.0435,19.3647,dI  ,10.24,
NGC0770,MATLAS-150,30.1818,19.3897,dI  ,0.0,
NGC0770,MATLAS-151,30.1832,19.1669,dE  ,5.82,
NGC0770,MATLAS-152,30.2469,18.6122,dI  ,3.62,
NGC0821,MATLAS-153,31.5609,10.8713,dI  ,0.0,
NGC0936,MATLAS-157,36.5367,-1.5211,dE  ,2.53,
NGC0936,MATLAS-160,36.6042,-0.7419,dI  ,3.74,
NGC0936,MATLAS-161,36.6135,-0.8365,dE  ,2.56,
NGC0936,MATLAS-162,36.7392,-1.3767,dE  ,0.0,
NGC0936,MATLAS-163,36.8022,-1.2106,dE  ,4.42,
NGC0936,MATLAS-165,36.8495,-0.9639,dI  ,0.0,
NGC0936,MATLAS-166,36.8802,-0.6398,dI  ,5.36,
NGC0936,MATLAS-168,37.0169,-1.4552,dI  ,0.0,
NGC0936,MATLAS-169,37.0782,-0.6076,dI  ,16.43,
NGC0936,MATLAS-170,37.0925,-1.5871,dI  ,0.0,
NGC0936,MATLAS-172,37.1537,-0.6455,dI  ,0.0,
NGC0936,MATLAS-173,37.1547,-1.5092,dEN ,5.01,
NGC0936,MATLAS-174,37.162,-1.5942,dE  ,5.61,
NGC0936,MATLAS-178,37.2157,-0.869,dEN ,5.0,
NGC0936,MATLAS-179,37.2419,-1.6351,dE  ,2.67,
NGC0936,MATLAS-180,37.2446,-0.7574,dI  ,0.0,
NGC0936,MATLAS-181,37.2487,-0.8538,dE  ,2.92,
NGC0936,MATLAS-183,37.397,-0.8071,dE  ,4.96,
NGC1023,MATLAS-184,39.4968,38.6032,dI  ,0.0,
NGC1023,MATLAS-185,39.5181,39.5408,dE  ,3.1,
NGC1023,MATLAS-186,39.5699,38.9476,dEN ,2.55,
NGC1023,MATLAS-187,39.6238,39.0956,dI  ,0.0,
NGC1023,MATLAS-188,39.8297,38.7783,dI  ,0.0,
NGC1023,MATLAS-189,39.8321,39.4336,dE  ,0.0,
NGC1023,MATLAS-190,39.8428,39.1728,dE  ,0.0,
NGC1023,MATLAS-191,39.9458,39.0473,dE  ,6.66,
NGC1023,MATLAS-192,40.0306,38.7489,dI  ,0.0,
NGC1023,MATLAS-193,40.0866,38.7827,dI  ,4.65,
NGC1023,MATLAS-194,40.1375,38.9004,dI  ,0.0,
NGC1023,MATLAS-195,40.3169,39.3967,dE  ,0.0,
NGC1023,MATLAS-196,40.3351,38.8675,dEN ,6.77,
NGC1023,MATLAS-197,40.4351,39.5816,dE  ,4.45,
NGC1023,MATLAS-198,40.5562,39.589,dE  ,4.76,
NGC1023,MATLAS-199,40.6023,38.6349,dE  ,4.98,
NGC1023,MATLAS-200,40.6178,38.9978,dI  ,0.0,
NGC1023,MATLAS-201,40.7306,38.8827,dE  ,2.67,
NGC1121,MATLAS-202,42.2231,-2.1181,dI  ,4.3,
NGC1121,MATLAS-203,42.2498,-1.7697,dE  ,8.01,
NGC1121,MATLAS-204,42.2791,-1.7026,dE  ,2.9,
NGC1121,MATLAS-205,42.3268,-1.5714,dI  ,6.5,
NGC1121,MATLAS-206,42.3422,-1.1928,dE  ,7.47,
NGC1121,MATLAS-207,42.4458,-1.1774,dE  ,6.97,
NGC1121,MATLAS-208,42.4888,-1.6861,dE  ,4.53,
NGC1121,MATLAS-209,42.6639,-2.1377,dE  ,5.09,
