host,ID,ra,dec,morph,re,z,tile,x,y,bands,n_bands,cutout
NGC3556,dw1108p5520,167.2484,55.3412,,9.308914292408224,,"(189, 291)",514.4192227910917,1935.717951871683,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1109p5447,167.305,54.7856,,6.574555709069752,,"(192, 290)",5736.328805072004,845.4767117349757,"['u', 'g', 'r', 'i', 'z']",5,0
NGC3556,dw1110p5429,167.6471,54.4973,,5.05618755418275,,"(195, 289)",7845.669427123896,4952.788612796354,"['u', 'g', 'r', 'i', 'z']",5,0
NGC3556,dw1111p5631,167.9472,56.532,,14.358622323881637,,"(185, 293)",1199.6779615200967,5629.964827512274,"['g', 'i', 'z']",3,0
NGC3556,dw1113p5529,168.2805,55.4926,,7.103716730331936,,"(191, 291)",8583.363242646092,4865.006622303216,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1113p5644,168.3996,56.7355,,4.915797895480537,,"(186, 293)",6040.590416996627,9564.514978432318,"['g', 'i', 'z']",3,0
NGC3556,dw1116p5551,169.0317,55.8617,,6.149067051156894,,"(189, 292)",4585.223849602669,2319.998375342291,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1116p5537,169.1718,55.6168,,4.958994713542756,,"(192, 291)",8478.588348156884,7271.429301522314,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1123p5602,170.832,56.0487,,5.116663099469856,,"(191, 292)",4457.258236938615,5943.952780702253,"['u', 'g', 'i', 'z']",4,0
NGC3627,NGC3593,168.6539,12.8178,,56.26903914420789,,,,,,0,0
NGC3627,dw1114p1238,168.6877,12.6477,,7.209446085017557,,,,,,0,0
NGC3627,dw1117p1305,169.2544,13.0993,,14.23423605777581,,,,,,0,0
NGC3627,dw1118p1348,169.7234,13.8054,,12.851279642557184,,,,,,0,0
NGC3627,NGC3623,169.733,13.0924,,,,,,,,0,0
NGC3627,dw1119p1419,169.8029,14.3272,,24.69480837459284,,,,,,0,0
NGC3627,dw1119p1157,169.8098,11.9524,,18.416500557776462,,,,,,0,0
NGC3627,dw1119p1417,169.8161,14.2901,,7.178015257398953,,,,,,0,0
NGC3627,NGC3628,170.0707,13.5897,,,,,,,,0,0
NGC3627,dw1121p1326,170.4037,13.4471,,9.865351018789696,,,,,,0,0
NGC3627,dw1123p1342,170.806,13.7141,,30.59005297980748,,,,,,0,0
NGC3627,dw1114p1307,168.7127,13.1316,,12.943607698686836,,,,,,0,0
NGC3627,dw1116p1356,169.0325,13.9412,,8.03843416345827,,,,,,0,0
NGC3627,dw1116p1324,169.0973,13.4101,,42.74003228112453,,,,,,0,0
NGC3627,dw1117p1250,169.4349,12.8369,,13.91403450141127,,,,,,0,0
NGC3627,dw1118p1330,169.5661,13.5139,,7.702517193284427,,,,,,0,0
NGC3627,dw1119p1210,169.8996,12.177,,4.791236785111124,,,,,,0,0
NGC3627,dw1120p1223,170.2214,12.3918,,6.588687239550106,,,,,,0,0
NGC3627,dw1121p1129,170.2651,11.487,,6.849955994129762,,,,,,0,0
NGC3627,dw1126p1246,171.5894,12.7713,,5.905066738845445,,,,,,0,0
NGC4258,NGC4248,184.4591,47.4092,,53.77781865097906,,"(249, 275)",2694.5403289440032,3242.9923643739785,"['u', 'g', 'r', 'i']",4,0
NGC4258,LVJ1218+4655,184.5465,46.9172,,16.10584362112744,,"(252, 274)",7709.297090632772,3398.955091804626,"['u', 'g', 'r', 'i']",4,0
NGC4258,dw1220p4729,185.1256,47.4906,,12.315727806337044,,"(250, 275)",3661.7873287446746,4818.7175145441915,"['u', 'g', 'r', 'i']",4,0
NGC4258,dw1223p4644,185.9542,46.7495,,3.397639725125782,,"(256, 273)",4953.232472384915,9835.083053366674,"['u', 'g', 'r', 'i']",4,0
NGC4517,dw1227p0136,186.9438,1.5998,,39.036974841776605,,"(374, 183)",7330.430118097636,6934.090837506623,['u'],1,0
NGC4517,dw1231p0140,187.766,1.6758,,12.276960410198877,,,,,,0,0
NGC4517,dw1236m0025,189.1755,-0.4305,,9.915055254731524,,,,,,0,0
