---,ID,ra,dec,re,E_Re,Re-bias,e_Re,f_Re,b/a,E_b/a,b/a-bias,e_b/a,f_b/a,n,E_n,n-bias,e_n,f_n,PA,E_PA,PA-bias,e_PA,f_PA,mu0g,E_mu0g,mu0g-bias,e_mu0g,f_mu0g,mu0r,E_mu0r,mu0r-bias,e_mu0r,f_mu0r,mu0z,E_mu0z,mu0z-bias,e_mu0z,f_mu0z,gmag,E_gmag,gmag-bias,e_gmag,f_gmag,rmag,E_rmag,rmag-bias,e_rmag,f_rmag,zmag,E_zmag,zmag-bias,e_zmag,f_zmag,VC,SFD,Ag,Ar,Az,comp,f_comp,cz,n_cz,sigma,MassTot,sigEnv,Nenv,Ref
SMDG,0240460-202646,40.19167,-20.4461,5.42,-0.16,-0.72,3.64,0,0.85,-0.07,-0.01,0.07,0,1.15,-0.02,-0.21,0.67,0,-36.81,-21.9,0,24.9,0,24.76,-0.76,0.25,0.02,0,24.06,-0.63,0.21,0.02,0,23.79,-0.65,0.21,0.04,0,20.65,-0.61,0.18,0.03,0,19.95,-0.48,0.12,0.05,0,19.68,-0.49,0.13,0.07,0,0,0.03,0.09,0.06,0.03,0.43,0,0,none  ,0,0,0,0,D 
SMDG,0240492-023208,40.20502,-2.5356,7.15,-0.23,-0.84,3.06,0,0.47,-0.07,0.01,0.07,0,0.56,-0.07,-0.11,0.46,0,8.76,-5.55,0,5.65,0,26.52,-0.75,0.25,0.02,0,25.86,-0.63,0.2,0.05,0,26.13,-1.06,0.63,-0.27,1,21.51,-0.8,0.27,-0.01,0,20.85,-0.67,0.23,0.03,0,21.11,-1.12,0.62,-0.29,1,0,0.03,0.1,0.07,0.04,0.18,0,0,none  ,0,0,0,0,D 
SMDG,0240546-051947,40.22763,-5.32981,6.68,-0.35,-0.14,1.16,0,0.88,-0.04,-0.01,0.04,0,0.86,-0.05,-0.04,0.18,0,25.01,-16.64,0,13.82,0,24.93,-0.28,0.08,0.05,0,24.27,-0.26,0.06,0.05,0,23.83,-0.24,0.06,0.06,0,19.86,-0.3,0.07,0.05,0,19.2,-0.26,0.04,0.06,0,18.75,-0.24,0.04,0.07,0,0,0.03,0.09,0.06,0.04,0.51,0,0,none  ,0,0,0,0,D 
SMDG,0240598-163312,40.24906,-16.55336,6.78,-0.26,0.04,0.19,0,0.4,-0.03,0.01,0.03,0,0.67,-0.06,0.02,0.02,0,-88.84,-0.84,0,0.77,0,24.15,-0.16,0.02,0.06,0,23.73,-0.16,0.01,0.07,0,23.52,-0.15,0.01,0.09,0,19.58,-0.12,-0.01,0.08,0,19.17,-0.12,-0.02,0.09,0,18.95,-0.11,-0.02,0.12,0,0,0.03,0.1,0.07,0.04,0.57,0,0,none  ,0,0,0,0,D 
SMDG,0241031-200903,40.26298,-20.15077,16.9,-2.03,-0.3,2.19,0,0.46,-0.04,0,0.04,0,0.91,-0.16,0.01,0.11,0,-58.64,-3.34,0,3.23,0,26.21,-0.36,0.09,0.1,0,25.75,-0.38,0.09,0.11,0,-99.99,-99.99,-99.99,-99.99,1,19.88,-0.37,0.13,0.08,1,19.42,-0.4,0.14,0.07,1,-99.99,-99.99,-99.99,-99.99,1,0,0.03,0.11,0.08,0.04,0.16,0,0,none  ,0,0,0,0,D 
SMDG,0241068-260017,40.27826,-26.0048,9.23,-0.2,0.03,0.1,0,0.67,-0.02,0,0.02,0,0.35,-0.03,0.02,0,0,-31.22,-1.49,0,1.54,0,24.6,-0.16,0,0.04,0,24.44,-0.13,-0.01,0.06,0,24.34,-0.14,0,0.09,0,18.39,-0.13,-0.01,0.05,0,18.23,-0.14,-0.01,0.06,0,18.14,-0.14,-0.01,0.09,0,0,0.02,0.06,0.04,0.02,0.56,0,0,none  ,0,0,0,0,D 
SMDG,0241150-072936,40.31254,-7.49335,8.03,-0.3,-0.71,2.93,0,0.64,-0.06,0,0.06,0,0.82,-0.05,-0.08,0.34,0,-39.09,-5.6,0,5.86,0,25.47,-0.4,0.11,0.08,0,24.86,-0.35,0.09,0.08,0,24.64,-0.4,0.11,0.1,0,20.25,-0.45,0.13,0.05,0,19.65,-0.39,0.1,0.06,0,19.43,-0.44,0.14,0.08,0,0,0.02,0.08,0.05,0.03,0.43,0,0,none  ,0,0,0,0,D 
SMDG,0241411-082050,40.42125,-8.34731,6.27,-0.3,-0.39,2,0,0.86,-0.08,-0.01,0.08,0,0.56,-0.06,-0.06,0.26,0,-60.42,-29.26,0,28.02,0,26.3,-0.47,0.15,0.07,0,25.64,-0.38,0.11,0.08,0,25.45,-0.56,0.22,0.03,0,20.92,-0.55,0.18,0.02,0,20.26,-0.43,0.14,0.04,0,20.07,-0.6,0.25,0,0,0,0.02,0.08,0.06,0.03,0.31,0,0,none  ,0,0,0,0,D 
SMDG,0241456-153703,40.44004,-15.61736,6.73,-0.22,0.06,0.13,0,0.68,-0.02,0,0.02,0,0.65,-0.04,0.01,0.02,0,-46.23,-1.68,0,1.71,0,24.07,-0.16,0.01,0.04,0,23.71,-0.15,0.01,0.05,0,23.47,-0.15,0.01,0.07,0,18.93,-0.14,-0.01,0.05,0,18.57,-0.14,-0.01,0.06,0,18.33,-0.14,-0.01,0.08,0,0,0.03,0.1,0.07,0.04,0.57,0,0,none  ,0,0,0,0,D 
SMDG,0241474-084707,40.44745,-8.78532,8.47,-0.31,0.04,0.45,0,0.74,-0.02,0,0.02,0,0.76,-0.04,0,0.05,0,-84.6,-2.98,0,2.91,0,24.45,-0.19,0.02,0.04,0,23.89,-0.16,0.02,0.05,0,23.58,-0.16,0.02,0.06,0,18.88,-0.18,0.01,0.05,0,18.32,-0.16,0,0.05,0,18.01,-0.16,0.01,0.07,0,0,0.03,0.09,0.06,0.03,0.57,0,0,none  ,0,0,0,0,D 
SMDG,0241499-143601,40.45786,-14.60041,5.53,-0.3,0.02,0.56,0,0.61,-0.05,0.01,0.05,0,0.69,-0.06,-0.01,0.13,0,49.59,-3.51,0,3.43,0,24.93,-0.26,0.04,0.08,0,24.61,-0.28,0.05,0.09,0,24.47,-0.33,0.07,0.14,0,20.4,-0.21,0.01,0.09,0,20.07,-0.22,0.02,0.1,0,19.94,-0.29,0.04,0.15,0,0,0.03,0.09,0.07,0.04,0.5,0,0,none  ,0,0,0,0,D 
