tile,bands,u_n_valid_pixels,u_sum_pixel_values,u_sum_pixel_values_squared,u_min,u_max,u_frac_zeros,u_kurtosis,g_n_valid_pixels,g_sum_pixel_values,g_sum_pixel_values_squared,g_min,g_max,g_frac_zeros,g_kurtosis,r_n_valid_pixels,r_sum_pixel_values,r_sum_pixel_values_squared,r_min,r_max,r_frac_zeros,r_kurtosis,i_n_valid_pixels,i_sum_pixel_values,i_sum_pixel_values_squared,i_min,i_max,i_frac_zeros,i_kurtosis,z_n_valid_pixels,z_sum_pixel_values,z_sum_pixel_values_squared,z_min,z_max,z_frac_zeros,z_kurtosis
"(363, 276)",ugriz,100000000.0,258863196.56919163,5027941765457.698,-5271.55908203125,55511.5546875,6.04e-06,32768.056848432236,100000000.0,16950234.83513106,3888320220.627182,-183.42230224609375,2196.2333984375,0.0,17631.975077113413,100000000.0,899321325.542202,5597833282328.719,-2524.43994140625,14340.466796875,0.0004538,1386.2104207461555,100000000.0,65302947030.21191,2.544352441416689e+16,-121108.09375,525575.4375,0.0,605.1474020044045,100000000.0,34805876.44512505,7671990508.447056,-43.22212600708008,2685.23193359375,0.0,10598.917594257138
"(289, 290)",ugriz,100000000.0,148205675.230912,1904889748857.9211,-5083.57958984375,40913.70703125,5.2e-07,42906.55562884697,100000000.0,7222852.203776012,820965962.5313133,-56.326568603515625,1120.976806640625,0.0,27222.081213095662,100000000.0,358426885.4596224,2005642940337.3123,-2121.68017578125,12938.02734375,1.856e-05,3321.0808268645296,100000000.0,42080499962.391304,2.084977125807904e+16,-145974.640625,687559.75,0.00043448,1204.494662726667,100000000.0,20833474.94263643,4572560729.715075,-33.41239547729492,2690.366943359375,0.0,16897.68896847152
"(176, 270)",ugriz,100000000.0,233473537.2596806,3998606406434.474,-5815.1884765625,51400.08984375,2.679e-05,22408.662581306886,100000000.0,10528577.667014193,1490737186.5520961,-6.691739559173584,1542.54443359375,0.0,15714.30644950737,100000000.0,435420984.31929827,2036189231614.104,-2486.399169921875,12050.380859375,7.477e-05,2226.0064346362906,100000000.0,67073663193.423485,5.614014133818014e+16,-297602.625,1170480.25,0.0,1266.5486939122814,100000000.0,17622982.559096634,3077535257.3076553,-27.897113800048828,2432.041015625,0.0,24208.284523374707
"(146, 278)",ugriz,100000000.0,160574389.5299558,1769737412386.6123,-5988.33837890625,54906.515625,0.00013537,47406.97465717014,100000000.0,7227635.883758551,747094451.1298181,-8.62031078338623,1341.75927734375,0.0,35667.492210731194,100000000.0,707231167.9951371,1793218750793.3286,-1970.08544921875,12749.33203125,3.272e-05,3422.568833106893,100000000.0,51115069256.543755,4.385915259945291e+16,-235151.5625,1248616.875,1e-08,1736.5484470684446,100000000.0,19704720.76155688,4648201279.748179,-36.97876739501953,2280.6083984375,0.0,21336.095027327025
"(206, 292)",ugriz,100000000.0,85301753.8884615,423549817934.0687,-5641.94384765625,47592.00390625,0.90210102,266750.38286631537,100000000.0,4606020.6622670535,522103587.52039737,-27.513439178466797,1420.534912109375,0.0,63245.64591856204,100000000.0,368430677.217384,2434675879149.9883,-2446.82666015625,13533.9482421875,0.10096223,2585.74578135374,100000000.0,52628165780.251144,3.8192196066533784e+16,-213715.875,973702.4375,0.0,1396.0320332060119,100000000.0,14046998.927239018,2856498927.755756,-78.28141021728516,2714.90673828125,0.0,26171.601865029083
"(198, 288)",ugriz,100000000.0,89562128.33449718,1197440611826.7354,-2082.3037109375,51732.34765625,0.00026078,88008.9280706289,100000000.0,3761005.887123114,322922294.6549482,-19.159011840820312,1493.6541748046875,0.0,79258.17108839465,100000000.0,166632063.74634284,933225296433.7505,-1905.703857421875,12056.5927734375,0.00129867,5903.98273190567,100000000.0,48054353254.65874,4.8863827601332056e+16,-329959.28125,1331971.125,0.0,2151.478624102897,100000000.0,10810134.736778237,1774592288.7775092,-38.29796600341797,1883.977783203125,0.0,34678.42878956378
"(324, 284)",ugriz,100000000.0,157349797.36797065,2405703220269.76,-8271.5185546875,59377.62890625,4.38e-06,55000.91480242336,100000000.0,12604701.367987098,2564824095.0920067,-38.441070556640625,1758.6214599609375,0.0,21655.799786006446,100000000.0,1563182028.899886,2708568631967.8066,-1931.4130859375,12199.25,6.9e-06,2107.096264759307,100000000.0,25103368864.737244,7679224108038873.0,-91640.5625,464124.875,0.0,1297.771613742179,100000000.0,-210307776.9474929,79124791064.12292,-220.3755645751953,2334.3154296875,0.0,44.10533402297905
"(290, 291)",ugriz,100000000.0,154860396.7916522,2047391543175.3245,-7186.0244140625,50225.27734375,0.00033024,46837.14931683052,100000000.0,10616611.31946852,1639284922.7528486,-23.368101119995117,1055.4649658203125,0.0,11956.160002413051,100000000.0,348124561.1921092,1627661338674.5647,-2014.28515625,12271.1787109375,4.85e-06,3130.4818245309098,100000000.0,27903922990.08085,1.0992164955725582e+16,-106077.375,557913.1875,0.0,1469.676287779505,100000000.0,14974634.273852624,4684436233.124651,-60.677215576171875,2366.937744140625,0.0,13565.04704268134
"(274, 283)",ugriz,100000000.0,203798686.7660231,4255575164043.1157,-5633.86279296875,36482.13671875,0.00042781,21646.793665148172,100000000.0,6705156.982370418,960816599.9736071,-11.653732299804688,1368.1048583984375,0.0,24654.219845182495,100000000.0,482949918.318431,2604244630468.8315,-1456.60546875,10812.3154296875,4.27e-06,2286.286083142376,100000000.0,46169523597.2247,2.8860746446091376e+16,-194508.84375,1149548.75,0.0,1391.9422965418896,100000000.0,159813615.38484952,26499087035.002167,-136.00570678710938,2190.87255859375,0.0,508.153176424581
"(293, 296)",ugriz,100000000.0,174553047.79517126,2032841258966.8115,-430.4368591308594,43275.43359375,5.784e-05,42339.520274758535,100000000.0,13688324.454546977,2940109258.2164216,-32.34441375732422,1754.24462890625,0.0,18089.56959670675,100000000.0,514481717.6691969,2166274256675.341,-1709.293701171875,9788.189453125,3.59e-06,1933.4408935017245,100000000.0,32915448617.075085,1.2898256217499576e+16,-143462.984375,881215.5,0.0,1510.624795319677,100000000.0,30739954.606362395,6243177338.533503,-14.199471473693848,2383.055908203125,0.0,11985.149274942109
"(199, 289)",ugriz,100000000.0,134390971.54610232,2233114189466.712,-4535.56494140625,51356.0546875,3.73e-06,52037.07639532195,100000000.0,6698977.184443068,865425426.0175326,-20.465177536010742,1625.17138671875,0.0,33797.94140256437,100000000.0,-111349392.77134365,946393123802.8322,-1332.9765625,9232.7275390625,0.27807172,1654.67500848191,100000000.0,50360357691.74058,4.008769466948777e+16,-220524.265625,1170434.25,0.0,1661.0611966622255,100000000.0,1143121.6561974627,3438579021.2523823,-153.3828582763672,2212.34521484375,0.0,12012.357541471985
"(240, 290)",ugriz,100000000.0,414759656.3115721,1597735681207.6736,-2386.232666015625,36104.9296875,0.04263755,36599.268946659475,100000000.0,4004227.774494885,426843070.47674125,-24.67245864868164,1271.5594482421875,0.0,68632.01233071563,100000000.0,202279241.72810578,1207731872203.5913,-1805.9993896484375,12934.67578125,5.262e-05,6214.748166047182,100000000.0,27639184839.21982,1.894038576925722e+16,-192577.109375,1129388.75,0.0,2571.7766846634877,100000000.0,11338684.678188428,2054992889.888527,-61.79804992675781,2336.6611328125,0.0,36582.96966178196
"(317, 281)",ugriz,100000000.0,119939797.09293348,1501507147232.2842,-1277.2071533203125,45990.79296875,9.322e-05,79829.58039296408,100000000.0,8238297.711008831,1047138265.6034865,-6.364774703979492,1408.7958984375,0.0,27441.546808073417,100000000.0,303506580.38949114,1672632275385.1062,-1761.3592529296875,12526.4111328125,1.871e-05,3990.9842116710183,100000000.0,31907688607.770905,1.6263498434788454e+16,-151121.046875,851316.5,0.0,1676.7111443336532,100000000.0,25407539.420245938,4267087935.649739,-42.81333923339844,2405.356689453125,0.0,14787.998584733647
